year,category,amount,source_file
2008,1.稅課及專賣收入,1203400000,97c歲入歲出簡明比較分析表.xls
2008,2.營業盈餘及事業收入,244195329,97c歲入歲出簡明比較分析表.xls
2008,3.規費及罰款收入,80742407,97c歲入歲出簡明比較分析表.xls
2008,4.財產收入,46073186,97c歲入歲出簡明比較分析表.xls
2008,5.其他收入,20025394,97c歲入歲出簡明比較分析表.xls
2008,1.一般政務支出,179012480,97c歲入歲出簡明比較分析表.xls
2008,2.國防支出,333042710,97c歲入歲出簡明比較分析表.xls
2008,3.教育科學文化支出,316252791,97c歲入歲出簡明比較分析表.xls
2008,4.經濟發展支出,200175284,97c歲入歲出簡明比較分析表.xls
2008,5.社會福利支出,296837537,97c歲入歲出簡明比較分析表.xls
2008,6.社區發展及環境保護支出,13434661,97c歲入歲出簡明比較分析表.xls
2008,7.退休撫卹支出,136037966,97c歲入歲出簡明比較分析表.xls
2008,8.債務支出,134496164,97c歲入歲出簡明比較分析表.xls
2008,9.一般補助及其他支出,76566860,97c歲入歲出簡明比較分析表.xls
2009,1.稅課及專賣收入,1267135000,04278163671.xls
2009,2.營業盈餘及事業收入,251285983,04278163671.xls
2009,3.規費及罰款收入,81614885,04278163671.xls
2009,4.財產收入,51507583,04278163671.xls
2009,5.其他收入,21687865,04278163671.xls
2009,1.一般政務支出,178269819,04278163671.xls
2009,2.國防支出,308234009,04278163671.xls
2009,3.教育科學文化支出,341723379,04278163671.xls
2009,4.經濟發展支出,261332033,04278163671.xls
2009,5.社會福利支出,324786004,04278163671.xls
2009,6.社區發展及環境保護支出,22620407,04278163671.xls
2009,7.退休撫卹支出,136840571,04278163671.xls
2009,8.債務支出,128472571,04278163671.xls
2009,9.一般補助及其他支出,107388211,04278163671.xls
2010,1.稅課收入,1126357000,083010355571.xls
2010,2.營業盈餘及事業收入,251663070,083010355571.xls
2010,3.規費及罰款收入,84442284,083010355571.xls
2010,4.財產收入,66436461,083010355571.xls
2010,5.其他收入,19087630,083010355571.xls
2010,1.一般政務支出,179359612,083010355571.xls
2010,2.國防支出,286341600,083010355571.xls
2010,3.教育科學文化支出,348221552,083010355571.xls
2010,4.經濟發展支出,200510272,083010355571.xls
2010,5.社會福利支出,325128001,083010355571.xls
2010,6.社區發展及環境保護支出,9641788,083010355571.xls
2010,7.退休撫卹支出,136823051,083010355571.xls
2010,8.債務支出,126051624,083010355571.xls
2010,9.一般補助及其他支出,102859903,083010355571.xls
2011,1.稅課收入,1155070000,100c歲入歲出簡明比較分析表.xls
2011,2.營業盈餘及事業收入,258240058,100c歲入歲出簡明比較分析表.xls
2011,3.規費及罰款收入,84771633,100c歲入歲出簡明比較分析表.xls
